image_id	id	caption
577712	371715	Three people stand in front of the giraffe zoo section.
111806	69623	Characters from Cat in the Hat in front of a man and child.
59386	775510	A group of giraffes stand together feeding on leaves in a large park.
374990	798044	A woman standing in a doorway as a dog turns and looks at her.
178980	10228	A laptop computer on a desk with a lamp and office supplies.
483374	695547	A man and a woman looking at cell phones.
341309	509349	A woman wearing a white sweater standing next to a man in a jacket.
382462	306435	A bunch of soccer players in uniform playing soccer.
387562	582195	A giraffe walking across a dirt and grass field.
119345	343697	a train sitting on a train track next to some trees
231831	609897	A black and white cat sitting on top of a chair.
201685	524264	A young man is surfing on an ocean wave.
473623	154773	A white porcelain toilet with the lid down, in a bathroom.
234889	460168	Two large trains at a modernized train station, people walking about.
497664	550539	A white and blue bus sitting on the side of tall buildings.
189067	365002	This expert skateboarder is skateboarding on a railing.
268350	406012	Girl walking through a living room with a huge leather sectional.
245460	206693	a small boy with a hat playing with a remote
60687	159027	A brown cow lays down in the grass
158849	477318	A group of people wait in line to use a machine.
383341	315587	a yellow plate of sliced bananas and butterflies on them
430656	232259	A young man holding a Nintendo Wii game controller.
346717	201081	A man flying through the air while riding a skateboard.
129285	513570	A number of trains sitting in a warehouse
121611	248714	A living area with table, chairs and a sofa.
325368	203604	A red street sign next to a no parking sign.
90367	407147	a close up of a dog sitting wearing a hat
387286	220291	A person riding a paddle boat on top of a wave in the ocean.
233882	350687	A small red plane sitting on top of an airport tarmac.
289573	533287	An older couple getting married in front of a crowd.
335578	515585	A tennis player hits a ball in an indoor area.
49068	635693	A woman in riding gear riding a horse in a dirt arena.
18462	707709	a man waiting for a bus at a stop on a corner
356145	99364	two people with a motorcycle and trailer parked by a waterfall.
402528	586370	A jar of mustard next to a small plate of a sandwich
321877	659682	A blond woman hold a red Wii controller.
280363	803719	A living area with a bed and a large window.
224862	497648	A white bus sitting on top of a grass field.
351597	23310	A computer station with one mac and a laptop are turned on.
30843	393966	two horses that are standing near each other and having an interaction.
39106	812101	Four young adults standing and playing a video game.
480509	39453	A crowd watches as a man rides a skateboard in a skate park.
545550	145693	A little kid eating a slice of cheesy pizza.
301014	550016	two cats sitting side by side eating out of a dish
559462	478042	A man and a woman dressed in wedding dresses.
31606	21280	Two refrigerators sitting next to each other in a kitchen with items stored on top of them.
359220	307051	A person at a table eating some food.
9801	421984	A person near a bike and a car on a street.
295440	354227	A woman pouring wine into glasses on a wooden table.
345137	367598	A pat sitting on top of a counter filled with vegetables.
45603	39968	A brown cat is sitting in front of a mirror.
529968	454820	A cat is sitting on a motorcycle looking in the mirror.
217071	695257	A bed with a purple blanket is pictured in this image.
80303	766781	A large green truck parked on top of a desert field.
233727	791852	A bus coming around the corner on a city street.
488697	547604	A couple of young men playing a game of frisbee.
487418	123044	a close up of a person eating a hot dog
22628	448262	a person holding a surf board on a beach
133693	653440	Traffic and street signs sit on the pole
237071	566795	A man standing on a tennis court holding a tennis racquet.
103747	667245	A man riding skis on top of a snow covered slope.
15918	49872	A restroom hanging off the side of a building over a mountain.
25603	542142	A girl with some food and drink at a table.
54955	168616	A small boy leaning up against a window on a train
455044	5400	Heavy snow covers a picnic bench next to a tree.
430750	16703	People walking toward an airplane to board it.
170116	567801	A wall mounted with a list and other papers.
503277	152634	A stop sign sitting next to a street sign on the side of a road.
146836	758645	A passenger train traveling on rail road tracks.
500100	807106	The dog is pulling a woman on a skateboard.
99828	606233	A vase filled with white and yellow flowers.
517523	445213	A 787 airplane is landing at the airport.
209419	137420	A white dog laying on top of a Siamese cat on a stone wall.
348594	113848	A group of people are playing frisbee on the beach
241876	24116	A cat on the lid of a toilet looking perturbed.
526555	422852	A group of people some with designed clothing, some with plain clothing on.
108681	755974	A cat sleeping on top of a laptop keyboard.
221017	596976	A rooster is walking on a grassy beach.
211425	721534	A little girl wearing a pink jacket holding two ski poles.
148444	169427	A close-up of a plate of food that has been eaten.
500471	480232	A cat laying on top of a suitcase laying on the floor.
454562	430533	A man is playing baseball before a crowd.
52565	268911	a cow stares as it stands next to a body of water
428847	735187	A bike parked next to a red door on the front of a house.
39914	660862	A woman and small child are trying to fly a kite.
72514	644096	A couple of cows tied to a fence in a city area.
547839	597786	a photo of a train heading down the tracks
480036	162146	many bikes parked in a parking lot very close to each other
315338	85139	Young man with backpack holding skateboard going down escalator.
495519	696253	Person riding a four wheeler on a beach towards a bridge.
444531	98310	A large kitchen filled with appliances and lots of counter top space.
178413	545921	looking out a window from inside the ski lodge
443281	187288	A TOILET IS IN THE BATHROOM DOOR WAY
12231	209468	A plate of food that includes meat and broccoli.
329653	657236	Group of chocolate covered strawberries on square plate.
547903	12728	A street sign located just below two large high rise hotels.
466585	346968	A pier stands in the ocean while people wade in the water.
530875	534216	A young man on a skateboard in a skate park.
75187	218211	A woman sitting on top of a bench looking beautiful.
404273	776233	A giraffe walking close to a pool of water.
561164	756623	A street corner with a sign and windows on the building.
1176	347512	View of a skateboarder igrinding a rail through a lens
574357	692247	The motorcyclist in a helmet is looking over the side of a bridge.
152628	390980	Two women in wetsuits pose with a surfboard.
100711	20818	Entertainment room with rack of dvds, tv and seating area.
331475	57775	Two plates of food sitting on the table
131612	264064	A girl riding a horse is jumping the log.
565395	173295	"A man in glasses sitting next to a woman and holding up a red frisbee that says ""Cheese Shop"" on it."
408008	1850	The dog is laying in the green grass with a red frisbee.
491867	643096	A young bald man dressed sharply smiles happily
477172	288743	Skier jumping moguls on his run down the mountain.
209044	540566	Two young children are playing a video game.
553436	72308	Two men and a dog in a kitchen.
162495	575459	Tall building with clock and spire behind white bricked building.
351840	781182	A dog is sitting in the passenger seat of a car.
213932	119092	A picture of a motorcycle on the street.
233140	44296	Bedroom with a bed, dresser, and small picture hanging on the wall.
13632	340308	A small round ceramic glass vase on a surface.
124876	161166	a person riding a surf board on a wave
379554	681697	a toilet that has some bubbles coming out of it
381529	328083	two men in suits standing next to each other
206958	509489	a room showing a toilet and a sink
33900	720314	A man riding skis on top of  a snow covered field.
518725	258192	A sliced sandwich with a pickle on a plate.
486369	256802	A trash truck is next to a glass with a straw.
517306	351658	Two people sitting behind a large pizza on a table.
521540	395802	A banana is on a plate with cookies and peanut butter.
376059	792546	a man fixes a tie with a button up shirt
374567	76288	A yellow and green train on a train track.
89258	793480	a vase that has some flowers in it
292990	696649	Baseball players on a field and near empty stadium.
344621	221833	A living room filled with furniture and  set of glass doors.
84241	361448	A group of women in kitchen next to pot.
550051	722236	people on the street near a sea with waters
225913	640911	A couple of people standing at a counter with some food.
514914	617362	a fancy bathroom with some tile walls
475248	508897	A metal counter top with a pan filled with food.
32577	335196	A woman standing on a tennis court holding a racquet.
118811	449135	A person sitting at a table with some drinks.
53800	23183	A father and son play a video game on the Nintendo Wii.
394458	123614	Two baby gray elephants standing in front of each other.
213091	649838	A kitchen with white cabinets and a grey counter top.
415840	167993	A silver and red train traveling down a busy city street.
43611	283253	GUY SKATE BOARDING DOWN THE STREET IN THE DARK
531000	692168	A giraffe with its teeth on a fence.
128568	796953	A floral arrangement with flowering twigs in an orange vase.
385359	496021	THERE IS A BOY IN  A BLUE SWEATER LOOKING AT SOMETHING
91267	326107	A room with a couch, chair and television.
337984	458987	A couple of sinks in a large room.
536168	588271	Trains on a track, one with freight boxes.
474054	531886	A man flying through the air while riding a skateboard.
546052	748500	Two men and a baby at a Christmas party.
354132	589937	A man standing next to a motorcycle on the side of a hill.
232223	3001	A fighter jet is flying at a fast speed.
11494	786859	A double deckers buss full of people taking part in a parade.
289842	392623	The woman throws a tennis ball into the air during a serve.
70619	638443	A train parked in front of a train station.
184388	368425	A youngster is flying a kite on the beach.
213785	666141	Two people who are diving for a Frisbee.
415360	807746	A puppy laying on a skateboard on a brick sidewalk.
482225	421475	Clear plate of fries next to a bacon cheeseburger.
273708	44184	A woman stands with outreached hands waiting to catch a ring.
450790	478396	A pizza with pineapple and meat topping on a metal pizza pan.
92648	385961	A town square is full of people riding their bikes and skateboarding.
539938	599383	A train traveling down tracks near a rural countryside.
16959	190551	A carrying a surfboard while walking across a beach next to the ocean.
302155	656275	The people carry their travel suitcase between them.
113556	378445	A shelf in a room full of books
534733	562913	A chair and a couch in a room.
279437	327906	A small neat bedroom for an adult
31773	502465	Two computers that are sitting on a desk.
139721	664794	A cat calmly sitting on a counter next to some scissors.
216636	670007	A viw of a cake with pieces cut off of it.
363344	419325	Four birds are walking on the sand near water.
404476	370005	A young man is sitting in a chair and has mismatched outfit and a name badge.
571839	226820	A mantle topped with two vases and a golden clock.
417074	501071	The parade features these people riding or even standing atop elephants
299838	337594	A man wearing a blue shirt and white shorts playing tennis.
563696	480403	A person sitting in front of a laptop computer on a  desk.
9483	373771	A man in a suit standing next to a control board and computer.
540544	471135	A lady in red is playing the Wii.
38031	689	A woman looking at her phone next to a car being towed.
397375	220266	A dog sitting in the passenger seat of a car.
427666	665051	Three bananas that are sitting next to a laptop and cellphones.
137622	120255	A young boy on the skateboard at the skate park.
283268	186386	A white plate topped with a toy hot dog in a toy bun.
371564	773960	A man standing under an umbrella  in the rain using a cell phone.
433182	204619	A train pulling into a train station next to a platform.
183456	47858	A person sitting at a table with two pizzas on pizza pans.
234691	153784	A large clock tower with a giant clock and two statues.
434788	108207	@ couple of kids walking in the snow
397274	554981	People with umbrellas walking down a street on a rainy day.
553081	670909	A family of giraffes stand together beside a wood fence.
327771	765688	A bed is sitting on a wooden frame.
81862	460091	A black computer keyboard on top of a white surface.
83850	621300	That pizza is four times the size of a normal pizza.
75636	384011	A pizza and a salad are sitting on a table.
362079	749714	A giraffe that is standing in the grass.
564088	587202	a few people that are inside a fence
28039	190403	A herd of zebra standing next to each other drinking from a river.
64842	338047	A beautiful woman standing in a field on green grass.
72753	787877	The two teddy bears are sitting together on the red tablecloth.
450695	453115	A large long train on a steel track.
35429	454232	A young boy seems to be trying to feed a giraffe.
62817	555189	A person holding a cell phone in their hand with three other phones around.
297074	366732	A man holds up a Polish sausage on a bun.
70079	46052	Giraffe standing in the shade of a tall covering
159320	598605	Cars are travelling on a foreign city street.
433845	511517	A single surfer is riding a surfboard on a wave.
420827	202559	A group of firefighters near fire engines parked on a street.
458365	671327	A white car is parked in the street at night time.
121663	80585	City bus on an empty city street near a STOP sign.
301061	85015	A person is moving green hay towards an elephant that is inside the back of a white truck.
480400	529169	A laptop and keyboard sitting on a cluttered desk.
435533	274339	A bathroom toilet with yellow liquid inside and a dirty tub.
407909	613938	A photo of a person being taken in this picture.
569016	556632	A runway has many old-fashioned planes and helicopters.
557323	368509	A man dressed in green kicks a soccer ball.
71466	371185	a chair with a pillow a mirror on the wall and a set of curtains
550529	423709	A motorbike sitting in front of a wine display case
540159	525537	A very nice looking living room with a couch.
358976	670065	A cat laying on top of a couch.
324390	730543	Some meat and vegetables are arranged on a white plate.
114717	53244	A baby is looking at a teddy bear that is next to it.
56983	305422	a woman stares as a bird flys through the air
120632	287832	A group of people skiing around a snow covered slope.
457394	665888	A white plate filled with lots of pasta.
400803	520987	A man standing on top of an orange boat on a river.
216326	782141	Young baby sleeping in innocent white drapes around him
369913	568354	A woman holding shears in one hand a tile in the other.
459136	337427	A steel bench sitting next to a wall.
190853	22525	A half eaten banana being held by a human hand.
337525	362196	Wet black and grey dog retrieving an orange ball.
58223	747554	A giraffe sticking it's head in a van.
245162	529272	A road with cars and buses near a building.
310999	97711	Green bananas are growing on a banana tree.
177575	756625	A stir fry bowl with broccoli and beef cooking.
242673	479596	A highway filled with lots of traffic next to buildings.
294451	388071	A market area with various crates of vegetables.
218855	460801	A bunch of people are sitting around while a guy plays a video game
75234	318125	A man swinging a tennis racket at a tennis ball.
474934	660087	Two horses on a beach near the water
301429	49504	a couple of black dogs laying down in a white chair
39865	237401	a man riding a big wave on his surfboard
333430	800336	a white stove is next to a window
285433	326534	A toilet with a black seat cover next to a sink.
511138	713744	A giraffe that is standing in the grass.
116279	347236	A large jetliner flying through a cloudy blue sky.
110048	80711	A plate of food with sauce and chopsticks.
321437	573153	A clock on a pole sitting next to tall buildings.
46616	576716	The two surfers are ready to go out on the water
345068	117330	A hospital room filled with empty beds and medical equipment.
524977	442964	A metal stove and a counter in a room.
277592	254618	A tall giraffe standing in front of two giant stones.
401951	81578	A building has a fire truck near it on the street with a man on a lift.
136181	527131	A white bed with a turquoise blanket, with a two piece painting hanging above it.
32322	781872	A look at a white refrigerator and brown cabinets.
397225	808718	a couple of kids are holding up pink umbrellas
444576	674992	A man and a dog ride in a convertible.
64409	488888	A pile of bananas sitting on top of a white table.
563258	312225	Various colored vases with black and white photographs on wall.
227656	541461	A laptop computer on a table in the passenger cabin of an airplane.
510955	526999	A very pretty lady with a oven mitt in a kitchen.
13232	166857	A black-and-white photo of two teddy bears sitting on a piano.
58690	583192	A boy playing a multicolored piano on the street.
86001	418960	A batter is swinging his bat while a catcher squats behind him.
473720	778490	A large black dog standing inside of a kitchen.
326075	384012	People are walking around at a technology convention.
378860	161674	A slice of pizza is loaded with pepperoni and resting by itself.
54204	767064	People with horse drawn carriage on side of city street.
104544	813020	There are two elephants standing near the water.
424219	51193	Two large giraffe standing next to each other and an ostrich.
510898	767459	A bunch of yellow and red apples are shining.
406332	519422	A small bear holding a larger bear around the neck while standing on a rock in a river.
293810	184108	The meal consists of meat with brocolli on the side.
325688	98959	two birds flying over some water and their reflection
234785	614294	A dog walking down the street with a bunch of birds flying around.
452622	181269	Six vases of various sizes are beige and brown.
156846	208012	A group of people sitting around a long table
557644	168280	A row of parked bicycles sitting on a side walk.
396754	107245	A group of people horse back riding on a sandy beach.
479078	323547	A brown horse being jumped over a fence rail in a competition.
143010	540156	A red rose sticking out of a glass vase.
330356	27636	Giraffe walking around a grassy field under a cloudy sky.
38210	658263	a skier is prepared to go down a mountain.
202825	325521	A woman in yellow shirt and white shorts holding a pole.
369345	349295	a black couch with a red pillow and blue blanket
234794	289233	A vintage STOP sign in black & white
483348	530111	A bathroom stall that is made of wood.
335450	343006	Two brown ponies in grassy field next to a fence.
221561	458543	A stuffed bear standing on top of a bed.
513765	376724	A group of children sit at a craft table.
146667	180163	A woman digging through the storage compartment on her moped.
35279	445588	there is a tennis racket and a laptop on the floor
203350	405026	Two small children in a double stroller looking at each other.
432724	323781	A couple of wild animals and a zebra standing on grass.
529944	153625	A woman kneeling down on the floor before an oven.
107205	247508	A man standing on one foot holding a skateboard behind him.
11887	503741	A motorcycle with a trailer parked in a spot
506115	82207	Blonde girls on a bus hold deflated soccer balls as a brown haired girl sits in the row of seats in front of them.
65798	52543	A baseball team playing a baseball game in front of a crowd.
31980	402650	A pizza sitting on top of a white plate on a table.
254711	614985	A baseball player swinging a bat during a baseball game.
58614	196218	Some people are standing on a crowd crowded sidewalk
53774	268940	skateboarder who is about to land from a jump of some type
207785	659130	Obama speaking to a crowd of Obama supporters.
203294	93787	A tour bus with a cats face painted on the front of it
548962	352662	A flat screen TV sitting in a living room.
25990	560552	a child sitting on the ground with a flower
98095	702991	A man is playing with a Wii controller as his friends watch.
77544	48596	A family standing in front of a sign while wearing skis and holding ski poles.
268742	812148	Dishes lined up on a narrow shelf above a radiator.
504561	117460	A woman holding a pink jacket next to a man wearing a tie.
53949	428194	Men holding tennis rackets are shaking hands above a net.
94619	527821	A young man skateboarding while listening to music.
282768	681651	A man on a skateboard with a dog on the sidewalk
130130	586921	A computer desk holding a monitor and keyboard in front of blinds.
294035	326206	A boy standing up on a open refrigerator.
237745	206195	a man with a hat riding on a surf board
129903	798164	A street sign with the words Manuel and Idalgo on it.
287748	77099	An Equestrian jumping their horse over a white jump.
180584	25086	Man relaxes on couch with pillows, blanket, and his computer.
240455	199241	Woman in a kitchen with cups and water pitcher.
54671	109068	A couple laying on a big bed in a bedroom.
268943	181933	A lake filled with water and a kite flying over itl
489764	67826	A woman and a man playing a video game in the living room
450282	415576	A man is shoving a large piece of food in to his mouth.
257996	49688	The unfinished room has tools and construction materials scattered about.
555669	161718	A smiling woman nonetheless cringes as a dog licks her ear.
287436	675957	People standing over a barrel with several fruit in it.
460676	800441	A man and young boy with tennis rackets on a blue tennis court.
52689	797263	a bunch of people that are skiing down a hill
202860	477928	A woman holding a vintage teddy bear in her hands.
39267	773743	A woman is kneeling down next to a toilet.
397628	781490	a stop sign and across the street are some vehicles
380834	344132	A black and white photo of four people, one rowing along a lake.
122120	163619	A young man on a skateboard doing tricks
46099	414707	A stop sign that looks likes it made of crinkled paper.
164759	514508	a living room with a long couch in it
150872	481671	A man flying a kite on the beach.
508443	139892	A half eaten pizza muffin is sitting on a plate with others untouched.
275501	96678	A bird standing in the sand and another bird landing on a blanket in the sand.
348474	548075	A woman standing next to a group of horses on a field.
323460	58718	A red plastic basket with two hot dogs on it.
302302	680073	A very big cute looking bird sitting on a pole.
173693	120256	A jockey riding a horse on a horse racing track.
88349	271930	A small pizza sitting on top of a blue plate.
79139	677624	A man serving a tennis ball on top of a tennis court.
272958	517952	A man on a wake board that is up in the air.
455847	477839	A woman and a child with red ski gear and a helmet wearing skis.
558449	739125	A potted plant sitting on a concrete overview.
473767	695988	Railway crossing sign and vacant train tracks and road
60093	305854	Cars driving on a road near a traffic light.
361265	478948	A woman walking across a street holding a camera.
453330	696752	A bird stands on the ground among dried leaves.
395006	783688	a bench near a table near a tree
427245	224176	A couple of women sitting at a table next to drinks.
134596	250808	a person doing a headstand on a concrete floor
515779	194300	A child smiles while holding a luggage rack
575465	518680	A group of men standing on top of a baseball field playing a game of baseball.
318204	715582	A man walking an animal across a beach.
509192	341543	A woman is standing on a kitchen floor.
208844	728397	Several stuffed animals handing from a metal rail.
271864	34227	An extravagant bedroom with focus on the chandelier.
140840	711464	many kites with different shapes all laying on the ground
547136	732671	An airplane having maintenance done on the tarmac.
247477	263321	Person lying on brown leather couch in sparsely fille room.
488463	30773	A man is standing next to a big cow.
214199	352664	A man surfing on a wave during the day.
74711	288192	Two ducks floating together on a body of water.
221713	110448	A curly haired man standing on the side of the street.
505335	42445	A group of people stand out side with umbrellas.
500116	299871	A group of people standing together on a field smiling.
469634	232916	A man riding a skateboard down the middle of a street.
119876	184011	A man dressed loudly is using his cell phone.
481928	67206	Yellow and red trolleys with people standing about.
30675	712971	The train engine number 6309 is operated by BNSF.
193380	240583	Many boats are docked at the harbor of a large city.
171546	182979	Blonde haired boy doing a jump while riding a skate board.
188346	599997	A green fire truck sitting on top of an airport tarmac.
181013	77476	Two men are playing frisbee with one man on the offense and another guarding.
562507	376397	A pizza is served on a dish above a table.
175212	420922	A bathroom with a low roof diagonally located above it
110617	36677	A baseball player in a ball hitting stance.
132791	470906	A man that is standing in the dirt.
214519	310950	Two side by side urinals mounted on a wall.
195974	402473	A snowboarder is in the air while people watch.
579362	653974	A man sits on a bench on a blue bench.
382797	183710	A shirtless man in a hat making luch
276552	613849	A man cutting food with a knife and a fork
152360	514161	A dark night at a market with bananas hanging from a stand.
13132	719119	A pair of men wearing waders stand in shallow water.
230993	286440	Two people walk down the street with umbrellas.
225791	361121	a man on a skate board on a rail
446005	196423	A kitchen has wooden cabinets and black countertops.
288174	259590	Young boy on blue skateboard in parking lot.
78107	673218	A cat sits in front of television intently looking at it.
499884	762064	Five young people are posing at the tennis net.
560440	436509	A view of a crosswalk that leads into a intersection.
356456	428622	a cargo and train on the train tracks
13597	543572	A piece of chocolate cake on a plate.
242940	319122	A stop sign at an intersection, with Hammer time and a person's picture displayed on the sign
420775	632845	a man wearing a backpack and green jacket
49660	144858	A male tennis player jumping in the air to serve a ball on a clay court with spectators looking on.
557360	769751	Some bunches of red bananas on a stalk.
473783	135819	Multiple train tracks with a train on one of the tracks.
377427	320877	A man at a table with several dishes of food.
519275	192465	a person getting ready to hit a tennis serve
205531	299832	A dog rests on a pillow on the ledge of a window.
558677	713477	A large jetliner sitting on top of an airport tarmac.
244151	435574	a person riding a skate board on a city street
301415	479040	A woman holding up a carrot while wearing a scarf.
172648	520781	a man leaning over the back of a truck in front of buildings
502644	279377	A woman sitting on a toilet with a mask on.
551459	49568	A baby elephant curls its trunk into its mouth beside mud or water.
218678	216499	A man on a white surfboard riding on a wave.
384808	585404	A man taking his picture in a bathroom mirror.
288465	652241	Sheep in the process of getting sheered of their wool
325602	762061	Two teenagers on riding skateboards down at a park.
295574	68217	A man taking pics in a bathroom with a cellphone
75434	298257	A man walks on the beach holding a surfboard on his head.
39202	587494	A very pretty girl working with some food in a kitchen.
347276	94222	Two plates have brocolli on them that is smothered in cheese.
260182	99794	A window that looks out onto an intersection with several shops.
15140	488366	A man and woman lie on the couch as a cat sits between her lap.
472881	46681	Several trains riding on different tracks near water.
53058	460280	there is a older man sitting and using a lap top
279838	596426	The woman using a cell phone touches her long hair.
301486	641823	Assorted food items displayed on trays with condiments on table.
542163	482495	A man riding a wave on a surfboard.
83958	437077	A giraffe is sitting down in the wild.
134964	232902	A cake with icing and cartoon cake toppers.
573179	637661	A black and white photo of a boy and a horse.
158994	275485	Two big white city buses parked near the curb.
325031	486168	a balloon elephant sits in the middle of a park area
69568	805401	A smiling old lady holds a pizza on a plate.
513789	532722	A bed sitting in a bedroom under a window.
273556	446040	An image looking down in to a toilet.
11537	36726	A hot dog on a bun with pickles and tomatoes is displayed.
274917	534624	A group of men are cutting a cake.
7155	413754	Someone's suitcase left outside against the wall opened up
543895	41211	Two men squatting outside a store looking at a frisbee.
273889	354386	A woman walking along a tennis court holding a tennis racquet.
424464	630459	The sculpture is of five people in clown costumes riding one long bike.
363673	733839	A young lady standing on a  tennis court with a racquet.
105918	22888	A flock of geese being chased by a dog.
549224	181283	A pizza sitting on top of a table with slices missing.
92173	491753	A black and white cat laying on top of a desk.
196878	787744	A newspaper called The Queenslander with a holiday dinner scene on it.
131714	31860	Dogs drinking water next to a statue of a dog.
246701	152745	A white toilet sitting next to a tub next to a sink
301956	625764	A large clock sitting over a lobby in a building.
365317	778270	A man that is standing on a court with a racquet.
324554	709229	A duck floating on top of a body of water.
459034	731372	An older man sitting next to an older woman, both of them are holding Wii controllers.
360274	198093	A young boy with a bat is attempting to hit a baseball.
465868	546953	A gray cat standing on top of a dirt road.
296471	121611	Cat sitting on the ground in between an open refrigerator.
205238	777002	A lady in a black and orange Halloween costume.
245102	781300	A bright red light that is on the side of a snow covered street.
408120	753851	A little girl that is standing with an umbrella.
277674	14970	Six candles are sticking out of a blue cake.
67587	513680	Three giraffes are sitting on the ground.
295478	768568	A woman walking a small white dog down a street.
305329	279291	a baseball player holding a bat on a field
134738	208763	A woman with glasses drying her hair with a blowdryer.
534173	383035	A woman in plaid shirt talking on a cellphone.
279549	91306	Am an taking a swing at a tennis ball
379605	802648	An airplane sitting on the water parked at the docks
214975	402921	A green truck cake sitting on top of a table.
64030	547616	A flock of ducks floating on top of a lake.
87444	154871	A cow sitting in a penn inside of a building.
459921	401287	A woman is holding a camera by a bathroom.
171962	338503	A city bus driving down a road with bikes fixed to it's front.
165675	203199	Slices of ham on a black tray next to a knife
87561	784901	A white toilet sitting next to a bathroom sink.
279696	262425	A man standing next to a circus clown.
375503	410565	A stair case sitting next to a wooden desk with a computer on it.
143974	503932	A cow walking across a river as a boat approaches on the water.
